time,P,G(i),H_sun,T2m,WS10m,Int
20190729:0010,0.0,0.0,0.0,22.81,1.66,0.0
20190729:0110,0.0,0.0,0.0,21.74,1.59,0.0
20190729:0210,0.0,0.0,0.0,20.78,1.52,0.0
20190729:0310,0.0,0.0,0.0,19.92,1.59,0.0
20190729:0410,0.0,0.0,0.0,19.17,1.59,0.0
20190729:0510,0.0,0.0,0.0,18.58,1.72,0.0
20190729:0610,2018000.0,43.73,9.23,18.46,1.66,0.0
20190729:0710,16632000.0,244.21,20.66,20.74,1.66,0.0
20190729:0810,36186000.0,470.92,32.33,23.02,1.52,0.0
20190729:0910,52874000.0,693.15,43.96,25.63,1.59,0.0
20190729:1010,65573000.0,877.86,55.07,27.67,2.07,0.0
20190729:1110,72977000.0,987.4,64.62,29.23,2.83,0.0
20190729:1210,75586000.0,1029.73,69.91,30.47,3.17,0.0
20190729:1310,73343000.0,996.55,67.61,31.46,3.45,0.0
20190729:1410,66621000.0,895.33,59.4,32.15,3.72,0.0
20190729:1510,55004000.0,729.41,48.76,32.4,4.0,0.0
20190729:1610,38416000.0,512.87,37.28,32.11,4.28,0.0
20190729:1710,18358000.0,277.62,25.58,31.31,4.41,0.0
20190729:1810,2406000.0,59.22,14.02,30.07,4.41,0.0
20190729:1910,361000.0,13.99,2.86,28.76,3.86,0.0
20190729:2010,0.0,0.0,0.0,26.97,3.59,0.0
20190729:2110,0.0,0.0,0.0,25.62,3.38,0.0
20190729:2210,0.0,0.0,0.0,24.54,2.97,0.0
20190729:2310,0.0,0.0,0.0,23.61,2.76,0.0
20190730:0010,0.0,0.0,0.0,22.69,2.55,0.0
20190730:0110,0.0,0.0,0.0,21.71,2.28,0.0
20190730:0210,0.0,0.0,0.0,20.78,2.07,0.0
20190730:0310,0.0,0.0,0.0,19.88,1.93,0.0
20190730:0410,0.0,0.0,0.0,18.95,1.72,0.0
20190730:0510,0.0,0.0,0.0,18.0,1.45,0.0
20190730:0610,1812000.0,41.21,9.09,18.03,1.03,0.0
20190730:0710,16798000.0,246.56,20.53,20.71,1.24,0.0
20190730:0810,37223000.0,481.66,32.2,23.03,2.28,0.0
20190730:0910,53806000.0,697.49,43.82,25.23,2.41,0.0
20190730:1010,66675000.0,892.79,54.92,27.17,2.0,0.0
20190730:1110,72125000.0,998.4,64.42,28.78,1.45,0.0
20190730:1210,73494000.0,1041.76,69.68,30.23,1.03,0.0
20190730:1310,70545000.0,1003.31,67.39,31.4,0.9,0.0
20190730:1410,63875000.0,896.18,59.23,32.35,0.97,0.0
20190730:1510,54210000.0,744.7,48.61,32.98,1.24,0.0
20190730:1610,37889000.0,518.58,37.14,33.22,1.59,0.0
20190730:1710,18191000.0,277.55,25.44,33.09,1.86,0.0
20190730:1810,2599000.0,61.68,13.87,32.63,2.21,0.0
20190730:1910,266000.0,12.24,2.7,31.48,2.28,0.0
20190730:2010,0.0,0.0,0.0,29.4,2.34,0.0
20190730:2110,0.0,0.0,0.0,27.6,2.48,0.0
20190730:2210,0.0,0.0,0.0,26.11,2.48,0.0
20190730:2310,0.0,0.0,0.0,24.87,2.28,0.0
20190731:0010,0.0,0.0,0.0,23.76,2.0,0.0
20190731:0110,0.0,0.0,0.0,22.42,1.66,0.0
20190731:0210,0.0,0.0,0.0,21.84,1.31,0.0
20190731:0310,0.0,0.0,0.0,22.33,0.9,0.0
20190731:0410,0.0,0.0,0.0,21.89,0.76,0.0
20190731:0510,0.0,0.0,0.0,21.37,0.62,0.0
20190731:0610,2244000.0,45.95,8.95,19.99,1.1,0.0
20190731:0710,15852000.0,233.59,20.39,22.26,0.34,0.0
20190731:0810,34213000.0,453.39,32.07,25.84,0.97,0.0
20190731:0910,50142000.0,665.07,43.69,28.57,1.66,0.0
20190731:1010,59941000.0,814.46,54.76,30.66,1.72,0.0
20190731:1110,67524000.0,938.68,64.23,32.28,1.79,0.0
20190731:1210,71060000.0,996.65,69.44,33.5,2.07,0.0
20190731:1310,69099000.0,969.42,67.17,34.35,2.07,0.0
20190731:1410,62422000.0,866.56,59.04,35.1,2.14,0.0
20190731:1510,51732000.0,705.64,48.45,35.28,2.41,0.0
20190731:1610,36120000.0,494.49,36.99,35.02,2.48,0.0
20190731:1710,17565000.0,268.33,25.29,34.69,2.55,0.0
20190731:1810,3177000.0,67.57,13.72,33.99,2.83,0.0
20190731:1910,221000.0,11.37,2.54,33.16,2.83,0.0
20190731:2010,0.0,0.0,0.0,31.31,2.55,0.0
20190731:2110,0.0,0.0,0.0,29.79,2.41,0.0
20190731:2210,0.0,0.0,0.0,28.47,2.55,0.0
20190731:2310,0.0,0.0,0.0,27.52,2.83,0.0
20190801:0010,0.0,0.0,0.0,26.4,2.97,0.0
20190801:0110,0.0,0.0,0.0,25.3,3.03,0.0
20190801:0210,0.0,0.0,0.0,24.14,2.83,0.0
20190801:0310,0.0,0.0,0.0,23.15,2.55,0.0
20190801:0410,0.0,0.0,0.0,22.31,2.28,0.0
20190801:0510,0.0,0.0,0.0,21.56,2.07,0.0
20190801:0610,1980000.0,43.14,8.81,21.19,1.86,0.0
20190801:0710,16329000.0,241.08,20.26,22.65,2.07,0.0
20190801:0810,36615000.0,477.8,31.94,24.81,2.28,0.0
20190801:0910,52888000.0,692.82,43.55,27.06,2.21,0.0
20190801:1010,65226000.0,878.05,54.61,29.2,2.21,0.0
20190801:1110,71431000.0,982.35,64.03,30.88,2.28,0.0
20190801:1210,74246000.0,1031.12,69.2,32.19,2.48,0.0
20190801:1310,71895000.0,996.76,66.94,33.19,2.62,0.0
20190801:1410,64407000.0,881.94,58.86,33.93,2.83,0.0
20190801:1510,53705000.0,725.77,48.29,34.35,2.97,0.0
20190801:1610,37185000.0,505.26,36.84,34.33,3.1,0.0
20190801:1710,17905000.0,273.58,25.14,33.88,3.31,0.0
20190801:1810,2513000.0,59.89,13.56,33.11,3.38,0.0
20190801:1910,143000.0,9.62,2.37,31.67,3.24,0.0
20190801:2010,0.0,0.0,0.0,29.9,2.83,0.0
20190801:2110,0.0,0.0,0.0,28.45,2.34,0.0
20190801:2210,0.0,0.0,0.0,27.21,1.86,0.0
20190801:2310,0.0,0.0,0.0,25.99,1.86,0.0
20190802:0010,0.0,0.0,0.0,24.81,2.07,0.0
20190802:0110,0.0,0.0,0.0,23.79,2.21,0.0
20190802:0210,0.0,0.0,0.0,22.75,2.0,0.0
20190802:0310,0.0,0.0,0.0,21.62,1.72,0.0
20190802:0410,0.0,0.0,0.0,20.71,1.45,0.0
20190802:0510,0.0,0.0,0.0,20.35,1.17,0.0
20190802:0610,1836000.0,41.42,8.66,20.77,0.83,0.0
20190802:0710,16509000.0,243.85,20.12,22.18,0.62,0.0
20190802:0810,36251000.0,481.18,31.81,25.17,0.62,0.0
20190802:0910,51970000.0,701.46,43.41,28.05,0.55,0.0
20190802:1010,63307000.0,888.14,54.44,30.25,0.41,0.0
20190802:1110,68219000.0,981.67,63.83,31.85,0.41,0.0
20190802:1210,71146000.0,1030.65,68.95,33.27,0.76,0.0
20190802:1310,68811000.0,986.03,66.7,34.42,1.17,0.0
20190802:1410,62798000.0,881.76,58.66,35.26,1.66,0.0
20190802:1510,53081000.0,730.59,48.12,35.76,2.07,0.0
20190802:1610,37063000.0,509.72,36.68,35.82,2.48,0.0
20190802:1710,17909000.0,274.75,24.99,35.44,2.69,0.0
20190802:1810,2967000.0,65.33,13.4,34.71,2.83,0.0
20190802:1910,104000.0,8.74,2.19,33.18,2.41,0.0
20190802:2010,0.0,0.0,0.0,31.19,2.14,0.0
20190802:2110,0.0,0.0,0.0,29.46,2.0,0.0
20190802:2210,0.0,0.0,0.0,27.81,1.66,0.0
20190802:2310,0.0,0.0,0.0,25.97,1.52,0.0
20190803:0010,0.0,0.0,0.0,24.75,1.31,0.0
20190803:0110,0.0,0.0,0.0,23.62,1.31,0.0
20190803:0210,0.0,0.0,0.0,22.53,1.31,0.0
20190803:0310,0.0,0.0,0.0,21.62,1.31,0.0
20190803:0410,0.0,0.0,0.0,20.67,1.31,0.0
20190803:0510,0.0,0.0,0.0,19.86,1.31,0.0
20190803:0610,1808000.0,40.76,8.52,19.53,1.24,0.0
20190803:0710,16347000.0,242.54,19.99,22.9,0.76,0.0
20190803:0810,36003000.0,478.53,31.68,26.69,1.17,0.0
20190803:0910,52467000.0,701.82,43.27,29.15,1.45,0.0
20190803:1010,65642000.0,898.14,54.28,31.16,1.93,0.0
20190803:1110,72058000.0,1000.65,63.62,32.55,2.34,0.0
